最优灵敏度,适配评分,适配等级,环境适配,趋势捕获率%,效率分,回撤控分,资金分,胜率分,波动分,基金代码,基金名称,所属板块,回测区间,交易天数,策略收益%,年化收益%,买入持有%,买持年化%,超额收益%,最大回撤%,买持最大回撤%,回撤起始,回撤结束,回撤持续天数,夏普比率,卡尔马比率,日均波动%,最大单日涨%,最大单日跌%,均值回归率%,买入次数,卖出次数,胜率%,月度胜率%,平均盈利,平均亏损,盈亏比,中位盈亏,P10盈亏,P90盈亏,最大单笔盈利,最大单笔亏损,最大连续亏损次数,最大连续盈利次数,平均仓位%,持仓天数占比%,空仓天数占比%,平均持仓天数,中位持仓天数,最长持仓天数,已实现盈亏,剩余现金,持仓市值,期末总值,牛市半年数,牛市策略收益%,牛市买持收益%,熊市半年数,熊市策略收益%,熊市买持收益%,震荡半年数,震荡策略收益%,震荡买持收益%,牛市天数,震荡天数,熊市天数,信号:低位建仓,信号:冷却期后加仓,信号:冷却期后建仓,信号:分批止盈,信号:反弹建仓,信号:大跌抄底,信号:常规止损(L2),信号:延迟回补(分批止盈),信号:延迟回补(强势止盈),信号:延迟回补(慢涨止盈),信号:延迟回补(扭亏分批止盈),信号:延迟回补(扭亏强势止盈),信号:延迟回补(扭亏慢涨止盈),信号:延迟回补(扭亏止盈卖出),信号:延迟回补(止盈卖出),信号:强势止盈,信号:慢涨止盈,信号:扭亏分批止盈,信号:扭亏强势止盈,信号:扭亏慢涨止盈,信号:扭亏止盈卖出,信号:极端止损(L3),信号:止盈卖出,信号:温和回调建仓,信号:灾难保底减仓,信号:灾难保护,信号:灾难保护(暴跌),信号:短期深亏安全网,信号:补仓(第1次),信号:补仓(第2次),信号:补仓(第3次),信号:趋势确认减仓,信号:趋势转弱,信号:跌势放缓建仓,信号:连跌低吸,分批止盈:次数,分批止盈:胜率%,分批止盈:总盈亏,分批止盈:平均盈亏,常规止损(L2):次数,常规止损(L2):胜率%,常规止损(L2):总盈亏,常规止损(L2):平均盈亏,强势止盈:次数,强势止盈:胜率%,强势止盈:总盈亏,强势止盈:平均盈亏,慢涨止盈:次数,慢涨止盈:胜率%,慢涨止盈:总盈亏,慢涨止盈:平均盈亏,扭亏分批止盈:次数,扭亏分批止盈:胜率%,扭亏分批止盈:总盈亏,扭亏分批止盈:平均盈亏,扭亏强势止盈:次数,扭亏强势止盈:胜率%,扭亏强势止盈:总盈亏,扭亏强势止盈:平均盈亏,扭亏慢涨止盈:次数,扭亏慢涨止盈:胜率%,扭亏慢涨止盈:总盈亏,扭亏慢涨止盈:平均盈亏,扭亏止盈卖出:次数,扭亏止盈卖出:胜率%,扭亏止盈卖出:总盈亏,扭亏止盈卖出:平均盈亏,极端止损(L3):次数,极端止损(L3):胜率%,极端止损(L3):总盈亏,极端止损(L3):平均盈亏,止盈卖出:次数,止盈卖出:胜率%,止盈卖出:总盈亏,止盈卖出:平均盈亏,灾难保底减仓:次数,灾难保底减仓:胜率%,灾难保底减仓:总盈亏,灾难保底减仓:平均盈亏,灾难保护:次数,灾难保护:胜率%,灾难保护:总盈亏,灾难保护:平均盈亏,灾难保护(暴跌):次数,灾难保护(暴跌):胜率%,灾难保护(暴跌):总盈亏,灾难保护(暴跌):平均盈亏,短期深亏安全网:次数,短期深亏安全网:胜率%,短期深亏安全网:总盈亏,短期深亏安全网:平均盈亏,趋势确认减仓:次数,趋势确认减仓:胜率%,趋势确认减仓:总盈亏,趋势确认减仓:平均盈亏,趋势转弱:次数,趋势转弱:胜率%,趋势转弱:总盈亏,趋势转弱:平均盈亏
1.0,46.3,C-一般,全天候/熊市优/震荡优,100.0,3.3,20.8,5.3,6.9,10,014943,鹏华中证细分化工产业主题ETF联接C,化工,2022-04-07 ~ 2026-05-08,992,7.85,1.94,3.56,0.89,4.29,17.78,48.44,2022-07-05,2024-02-05,813,0.28,0.11,0.987,8.09,-8.34,47.5,32,182,46.2,46.0,28.85,-19.56,1.47,0.0,-24.2,29.96,389.16,-421.33,36,24,26.7,98.0,2.0,14.7,7,53,721.45,9496.44,1288.18,10784.62,1,7.7,41.71,2,-5.37,-33.11,6,5.92,6.26,0,980,12,0,14,3,9,0,1,67,0,0,0,0,1,0,2,2,2,14,7,7,0,29,18,18,2,0,0,1,0,3,3,1,1,9,0,0,9,100.0,214.68,23.85,67,0.0,-882.78,-13.18,2,100.0,64.25,32.12,14,100.0,280.12,20.01,7,57.1,70.6,10.09,7,100.0,496.46,70.92,0,0,0,0,29,86.2,621.39,21.43,18,0.0,-748.91,-41.61,18,77.8,546.48,30.36,0,0,0,0,0,0,0,0,1,0.0,-27.94,-27.94,0,0,0,0,1,0.0,-41.99,-41.99,9,100.0,129.09,14.34
1.1,47.95,,,142.65,4.3,22.1,4.65,6.9,10.0,---,【化工】平均,化工,,,10.48,2.33,-5.91,-1.33,16.39,16.58,53.4,,,875.0,0.38,0.14,1.0,8.11,-8.27,47.95,32.5,181.5,41.9,45.9,32.48,-15.84,2.05,-0.04,-17.68,28.53,389.84,-340.29,37.0,22.5,23.25,98.2,1.8,19.9,11.5,66.5,951.85,,,11048.41,1.0,9.32,41.79,2.0,-3.48,-33.22,6.5,4.88,-3.72,0.0,16.5,3.5,8.5,0.0,0.5,76.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,2.0,2.0,11.5,5.5,6.5,3.0,18.5,20.0,19.0,2.0,0.5,0.0,0.5,0.0,3.0,2.5,0.5,1.5,8.0,0.0,0.0,8.5,100.0,301.44,35.46,76.5,0.0,-624.35,-8.16,2.0,100.0,157.65,78.82,11.5,100.0,238.03,20.7,5.5,72.7,102.03,18.55,6.5,100.0,460.39,70.83,3.0,100.0,12.57,4.19,18.5,89.2,484.79,26.21,20.0,0.0,-670.33,-33.52,19.0,84.2,567.11,29.85,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-13.97,-27.94,0.0,0.0,0.0,0.0,1.5,0.0,-178.82,-119.22,8.0,100.0,115.31,14.41
1.05,55.1,B-良好,全天候/熊市优/震荡优,162.2,11.3,21.5,4.4,7.9,10,013275,富国中证煤炭指数(LOF)C,煤炭,2021-09-16 ~ 2026-05-08,1122,19.32,4.05,11.91,2.56,7.41,10.77,31.65,2024-05-29,2024-09-11,322,0.53,0.38,1.283,7.92,-8.15,50.1,27,216,65.7,52.6,23.85,-25.55,0.93,0.06,-15.28,28.8,415.37,-203.12,22,27,21.9,96.3,3.7,29.3,20,87,1930.05,11811.7,120.39,11932.09,3,13.92,64.11,2,-1.69,-33.47,5,6.57,-8.0,0,1100,22,2,9,4,40,0,1,46,2,0,0,1,1,0,0,2,1,21,16,4,5,14,13,47,1,0,0,0,0,3,1,0,3,6,0,0,40,97.5,1650.66,41.27,46,0.0,-979.54,-21.29,1,100.0,0.04,0.04,21,95.2,440.47,20.97,16,81.2,13.87,0.87,4,100.0,63.78,15.95,5,100.0,0.33,0.07,14,78.6,119.84,8.56,13,0.0,-450.42,-34.65,47,91.5,1058.03,22.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,-26.16,-8.72,6,100.0,39.15,6.52
0.9,67.9,B-良好,全天候/熊市优/震荡优,61.9,22.7,24.9,2.5,7.8,10,013596,招商中证煤炭等权指数(LOF)C,煤炭,2021-10-20 ~ 2026-05-08,1105,22.77,4.79,36.78,7.4,-14.01,6.34,30.81,2024-10-08,2024-10-17,412,0.67,0.76,1.287,7.71,-8.55,50.2,34,242,74.4,51.8,15.67,-9.57,1.64,0.11,-1.08,23.37,361.13,-85.82,11,24,12.5,96.8,3.2,9.4,3,39,2437.63,7637.58,4639.84,12277.42,3,3.57,63.08,2,0.77,-24.48,5,16.8,0.93,0,1088,17,2,12,2,22,0,0,28,1,0,1,0,0,0,8,0,1,17,26,12,9,71,9,28,1,0,0,0,2,3,3,1,1,16,0,0,22,95.5,101.73,4.62,28,0.0,-106.91,-3.82,1,100.0,8.31,8.31,17,100.0,63.16,3.72,26,73.1,187.88,7.23,12,91.7,335.67,27.97,9,88.9,11.6,1.29,71,88.7,1879.04,26.47,9,0.0,-133.61,-14.85,28,89.3,108.66,3.88,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-129.75,-64.88,1,0.0,-12.45,-12.45,16,93.8,124.3,7.77
0.9,72.5,A-极佳,全天候/熊市优/震荡优,54.5,25.9,25.0,3.6,8.0,10,015566,万家精选混合C,煤炭,2022-05-26 ~ 2026-05-08,960,22.24,5.41,40.78,9.39,-18.54,6.27,31.29,2022-07-05,2022-08-05,349,0.77,0.86,1.159,7.42,-8.06,50.6,26,192,67.7,53.1,18.18,-2.95,6.16,0.1,-0.4,26.83,402.07,-31.47,25,39,17.9,96.9,3.1,19.9,16,65,2204.37,11852.83,370.83,12223.66,3,12.64,58.21,1,-0.68,-13.78,5,8.69,-3.05,0,945,15,0,6,3,14,0,0,53,0,0,0,1,0,2,3,3,0,8,24,10,10,37,8,19,0,0,0,0,0,4,2,1,0,9,0,1,14,100.0,32.35,2.31,53,1.9,-119.88,-2.26,0,0,0,0,8,100.0,17.55,2.19,24,95.8,292.18,12.17,10,100.0,346.52,34.65,10,100.0,223.46,22.35,37,97.3,902.09,24.38,8,12.5,-39.21,-4.9,19,94.7,447.31,23.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100.0,102.0,11.33
0.85,60.7,B-良好,熊市优,38.8,14.4,23.1,5.7,7.5,10,017787,万家宏观择时多策略混合C,煤炭,2023-02-21 ~ 2026-05-08,779,13.47,4.17,34.72,10.12,-21.25,8.68,31.63,2024-05-29,2025-04-30,337,0.49,0.48,1.112,8.38,-7.72,50.7,19,149,59.1,50.0,28.8,-26.65,1.08,0.03,-6.5,30.3,471.06,-372.57,25,17,28.4,95.6,4.4,24.7,11,74,1255.0,10237.11,1109.76,11346.87,4,22.86,69.49,1,-1.5,-14.91,2,-7.86,-16.81,0,763,16,2,4,3,15,0,1,35,0,0,1,2,0,0,0,1,0,6,13,1,4,21,9,40,2,0,0,1,0,2,1,0,0,4,0,0,15,80.0,292.31,19.49,35,0.0,-441.85,-12.62,0,0,0,0,6,83.3,229.9,38.32,13,76.9,188.61,14.51,1,100.0,0.86,0.86,4,75.0,3.08,0.77,21,85.7,646.31,30.78,9,0.0,-822.7,-91.41,40,87.5,1154.56,28.86,0,0,0,0,0,0,0,0,1,0.0,-14.56,-14.56,0,0,0,0,0,0,0,0,4,100.0,18.48,4.62
1.2,50.5,C-一般,熊市优,43.0,5.6,20.3,6.2,8.4,10,016814,国联中证煤炭指数C,煤炭,2022-11-02 ~ 2026-05-08,853,7.26,2.09,16.87,4.71,-9.61,11.23,28.91,2024-09-30,2025-04-07,384,0.28,0.19,1.039,8.01,-7.68,51.3,30,201,56.2,55.8,15.23,-14.88,1.02,0.02,-11.3,23.07,193.7,-197.33,43,25,30.8,99.3,0.7,19.2,4,91,724.06,10529.3,196.95,10726.25,2,10.45,34.51,1,-2.44,-13.02,5,-0.57,-1.12,0,845,8,1,16,1,35,0,0,54,3,0,3,0,0,0,0,3,1,23,18,8,8,20,13,19,1,0,0,0,0,2,0,0,0,2,0,0,35,88.6,574.77,16.42,54,0.0,-537.66,-9.96,1,100.0,0.24,0.24,23,69.6,324.97,14.13,18,77.8,20.53,1.14,8,100.0,246.33,30.79,8,75.0,11.03,1.38,20,90.0,135.29,6.76,13,0.0,-459.35,-35.33,19,89.5,391.89,20.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100.0,16.02,8.01
1.3,61.5,B-良好,熊市优,19.2,13.8,24.2,4.4,9.1,10,008280,国泰中证煤炭ETF联接C,煤炭,2020-04-01 ~ 2026-05-08,1480,27.23,4.19,141.66,16.21,-114.43,9.09,39.25,2024-03-07,2025-12-31,524,0.57,0.46,1.285,7.92,-8.88,51.5,40,278,61.2,60.8,24.91,-18.94,1.32,0.04,-9.16,32.69,479.04,-294.8,21,34,22.1,97.6,2.4,21.5,11,102,2719.0,12505.87,217.2,12723.07,5,31.16,120.86,2,-2.04,-22.0,6,-3.7,4.91,0,1455,25,0,16,6,35,0,0,66,4,0,2,2,0,1,0,4,1,15,13,13,8,53,13,50,1,0,0,0,0,4,0,0,9,2,0,0,35,88.6,1103.25,31.52,66,0.0,-604.68,-9.16,1,100.0,0.01,0.01,15,93.3,530.76,35.38,13,100.0,27.55,2.12,13,100.0,1093.89,84.15,8,62.5,3.78,0.47,53,88.7,656.5,12.39,13,0.0,-324.42,-24.96,50,88.0,807.32,16.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,-586.32,-65.15,2,100.0,11.36,5.68
1.03,61.37,,,63.27,15.62,23.17,4.47,8.12,10.0,---,【煤炭】平均,煤炭,,,18.71,4.12,47.12,8.4,-28.41,8.73,32.26,,,388.0,0.55,0.52,1.19,7.89,-8.17,50.73,29.3,213.0,64.05,54.02,21.11,-16.42,1.29,0.06,-7.29,27.51,387.06,-197.52,24.5,27.67,22.27,97.08,2.92,20.67,10.83,76.33,1878.35,,,11871.56,3.33,15.77,68.38,1.5,-1.26,-20.28,4.67,3.32,-3.86,1.2,10.5,3.2,26.8,0.0,0.3,47.0,1.7,0.0,1.2,1.0,0.2,0.5,1.8,2.2,0.7,15.0,18.3,8.0,7.3,36.0,10.8,33.8,1.0,0.0,0.0,0.2,0.3,3.0,1.2,0.3,2.2,6.5,0.0,0.2,26.8,91.9,625.84,23.32,47.0,0.4,-465.09,-9.9,0.7,100.0,1.43,2.15,15.0,88.9,267.8,17.85,18.3,83.6,121.77,6.64,8.0,97.9,347.84,43.48,7.3,84.1,42.21,5.76,36.0,89.4,723.18,20.09,10.8,1.5,-371.62,-34.3,33.8,89.7,661.29,19.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-2.43,-14.56,0.3,0.0,-21.62,-64.88,2.2,0.0,-104.16,-48.07,6.5,97.4,51.88,7.98
0.85,62.9,B-良好,全天候/熊市优/震荡优,336.5,16.4,25,4.0,7.5,10,007083,平安高端制造混合C,光伏,2020-04-01 ~ 2026-05-08,1480,44.12,6.42,13.11,2.12,31.01,11.75,63.96,2021-02-10,2021-03-24,1125,0.9,0.55,1.212,10.36,-12.63,50.0,55,354,56.5,50.0,29.7,-12.32,2.41,0.02,-9.09,21.23,1028.37,-116.25,33,24,19.9,98.2,1.8,13.8,11,64,4401.05,11962.61,2449.72,14412.33,4,41.31,112.29,4,-8.45,-59.11,5,6.23,-20.25,0,1460,20,0,27,3,45,0,0,87,2,0,1,1,1,0,4,3,2,28,31,8,14,42,36,41,2,0,0,0,0,5,3,2,0,20,1,0,45,86.7,291.68,6.48,87,0.0,-551.93,-6.34,2,100.0,8.68,4.34,28,75.0,193.17,6.9,31,90.3,77.9,2.51,8,100.0,1550.83,193.85,14,71.4,1.3,0.09,42,78.6,621.59,14.8,36,0.0,-987.63,-27.43,41,95.1,3022.65,73.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,100.0,172.81,8.64
1.15,49.8,C-一般,全天候/熊市优/震荡优,151.5,5.6,25,3.4,5.8,10,012929,银华中证光伏ETF发起式联接C,光伏,2022-05-30 ~ 2026-05-08,958,9.15,2.33,-17.78,-5.02,26.93,12.57,63.73,2022-11-04,2024-09-23,688,0.39,0.19,1.396,11.14,-10.66,51.5,31,229,27.9,38.8,34.83,-7.87,4.43,-0.27,-19.53,5.47,458.03,-68.72,113,25,16.8,98.0,2.0,15.1,5,60,1024.54,4594.49,6320.61,10915.1,3,14.83,73.4,3,-6.25,-63.54,3,1.35,-10.5,0,917,41,0,17,1,15,0,0,136,1,0,0,0,2,0,3,1,0,4,3,4,0,19,21,19,2,0,0,0,0,3,1,0,2,6,0,0,15,86.7,312.27,20.82,136,0.0,-853.14,-6.27,0,0,0,0,4,75.0,6.02,1.5,3,33.3,0.53,0.18,4,100.0,158.57,39.64,0,0,0,0,19,94.7,987.86,51.99,21,0.0,-330.75,-15.75,19,100.0,697.81,36.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-20.55,-10.28,6,100.0,65.92,10.99
0.95,44.5,C-一般,全天候/熊市优/震荡优,126.9,3.3,22.5,3.9,4.8,10,012680,华泰柏瑞光伏ETF联接C,光伏,2021-10-26 ~ 2026-05-08,1101,9.62,2.13,-35.71,-9.62,45.33,19.1,64.05,2022-08-18,2024-09-23,516,0.28,0.11,1.441,11.36,-10.63,51.2,42,265,23.0,32.1,64.93,-15.55,4.18,-1.29,-29.44,4.61,1318.53,-272.73,53,21,19.6,98.3,1.7,13.3,9,54,959.85,5368.75,5593.57,10962.32,2,3.95,54.87,3,-12.26,-63.52,5,20.14,-17.35,0,1042,59,1,27,1,15,1,0,165,1,0,0,0,2,0,1,0,1,7,3,5,1,5,32,14,0,0,0,0,1,4,2,0,3,13,0,2,15,86.7,91.7,6.11,165,0.0,-1509.56,-9.15,1,100.0,0.03,0.03,7,100.0,174.26,24.89,3,100.0,6.12,2.04,5,100.0,473.2,94.64,1,100.0,2.26,2.26,5,100.0,1425.18,285.04,32,0.0,-1362.88,-42.59,14,92.9,1621.18,115.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-16.39,-16.39,3,0.0,-112.12,-37.37,13,100.0,166.87,12.84
0.95,50.7,C-一般,全天候/熊市优/震荡优,240.7,7.6,23.6,3.1,6.4,10,011103,天弘中证光伏产业指数C,光伏,2021-03-17 ~ 2026-05-08,1248,22.63,4.21,9.4,1.83,13.23,16.57,64.76,2022-08-18,2024-09-23,516,0.57,0.25,1.513,11.39,-10.95,51.3,40,270,36.3,42.9,48.04,-15.31,3.14,-0.51,-18.8,13.48,1323.24,-175.36,57,29,15.4,98.1,1.9,16.3,13,54,2227.0,9196.62,3066.55,12263.17,4,8.54,105.35,3,-9.72,-64.66,4,23.81,-8.06,0,1188,60,2,23,3,24,1,0,131,0,0,2,0,2,0,1,0,2,16,2,4,2,11,33,28,1,0,0,0,3,3,2,0,2,12,0,0,24,100.0,283.33,11.81,131,0.0,-995.34,-7.6,2,100.0,0.22,0.11,16,100.0,474.11,29.63,2,100.0,5.57,2.79,4,100.0,440.63,110.16,2,100.0,0.59,0.29,11,90.9,1371.77,124.71,33,0.0,-1131.99,-34.3,28,92.9,1906.36,68.08,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,-274.74,-91.58,2,0.0,-78.62,-39.31,12,100.0,225.11,18.76
1.0,45.4,C-一般,全天候/熊市优/震荡优,118.6,2.0,22.7,3.8,6.9,10,013817,汇添富中证光伏产业指数增强发起式C,光伏,2021-12-02 ~ 2026-05-08,1074,5.4,1.24,-29.04,-7.73,34.44,18.54,63.72,2022-08-18,2024-09-23,516,0.17,0.07,1.542,11.54,-11.29,50.4,35,219,30.6,46.3,45.32,-17.39,2.61,-1.66,-33.78,18.66,617.84,-332.01,71,26,18.9,98.2,1.8,18.7,15,64,462.21,5302.42,5237.38,10539.8,2,4.63,55.8,4,-11.99,-67.7,4,13.9,-5.28,0,1025,49,0,18,4,9,1,0,116,0,0,0,0,0,0,3,0,2,4,6,3,1,16,25,22,2,0,0,0,2,5,2,0,5,8,0,0,9,88.9,228.45,25.38,116,0.0,-1239.81,-10.69,2,50.0,0.22,0.11,4,100.0,59.26,14.81,6,100.0,93.65,15.61,3,100.0,115.23,38.41,1,100.0,0.57,0.57,16,93.8,1288.87,80.55,25,0.0,-795.15,-31.81,22,95.5,1087.48,49.43,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-79.25,-39.62,5,0.0,-460.09,-92.02,8,100.0,162.78,20.35
1.15,42.4,C-一般,熊市优,71.1,0,23.3,3.7,5.4,10,012723,平安中证光伏产业指数C,光伏,2021-08-20 ~ 2026-05-08,1141,-8.22,-1.88,-28.49,-7.14,20.27,17.27,64.32,2021-10-29,2022-04-26,1097,-0.19,-0.11,1.484,11.37,-10.87,51.1,31,228,36.0,36.2,24.39,-19.49,1.25,-0.48,-34.16,8.19,337.73,-197.76,62,24,18.3,97.9,2.1,18.6,9,84,-708.9,2861.09,6317.18,9178.27,2,2.27,54.16,3,-9.31,-63.97,5,-0.51,-6.06,0,1084,57,1,16,1,13,0,0,118,2,0,0,0,0,0,0,2,0,9,0,8,0,33,17,22,2,0,0,0,0,5,0,0,4,4,1,1,13,100.0,285.76,21.98,118,0.0,-2213.85,-18.76,0,0,0,0,9,100.0,163.77,18.2,0,0,0,0,8,100.0,394.13,49.27,0,0,0,0,33,87.9,635.18,19.25,17,0.0,-462.78,-27.22,22,86.4,510.28,23.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-32.5,-8.12,4,100.0,11.11,2.78
1.25,42.6,C-一般,全天候/熊市优/震荡优,84.9,0,21.8,3.8,7.0,10,012365,广发中证光伏产业指数C,光伏,2021-08-06 ~ 2026-05-08,1151,-4.85,-1.08,-32.2,-8.16,27.35,21.28,64.87,2022-08-18,2024-02-05,900,-0.1,-0.05,1.501,11.45,-10.96,51.0,37,269,32.0,46.6,25.62,-15.79,1.62,-0.56,-28.82,8.49,442.33,-165.44,82,28,19.1,98.2,1.8,18.1,6,81,-528.23,6441.34,3073.45,9514.79,2,6.1,55.98,3,-12.69,-64.33,5,2.42,-12.31,0,1093,58,0,22,3,17,0,0,143,3,0,0,0,1,1,1,0,2,5,10,5,5,29,25,21,2,0,0,0,2,2,1,0,3,2,1,0,17,100.0,633.09,37.24,143,0.0,-1348.64,-9.43,2,100.0,0.03,0.01,5,80.0,49.93,9.99,10,80.0,112.53,11.25,5,100.0,271.54,54.31,5,80.0,2.06,0.41,29,89.7,219.15,7.56,25,0.0,-754.44,-30.18,21,85.7,885.25,42.15,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-255.93,-127.97,3,0.0,-372.25,-124.08,2,100.0,29.45,14.72
0.8,41.8,C-一般,全天候/熊市优/震荡优,87.6,0,21.4,4.9,5.5,10,013602,国泰中证光伏产业ETF发起联接C,光伏,2021-11-19 ~ 2026-05-08,1083,-4.04,-0.95,-32.55,-8.76,28.51,21.91,63.73,2022-08-18,2024-09-23,900,-0.06,-0.04,1.406,11.01,-10.72,50.8,46,253,27.3,36.4,53.5,-22.84,2.34,-1.15,-43.75,11.98,860.07,-242.18,62,24,24.6,98.2,1.8,12.4,9,46,-167.81,2255.53,7340.95,9596.48,2,8.45,55.35,3,-15.64,-61.67,5,4.98,-15.97,0,1031,52,2,25,1,15,1,1,140,0,0,1,0,2,0,1,1,1,6,10,6,0,12,34,12,0,1,0,1,0,5,4,1,1,14,0,1,15,100.0,437.42,29.16,140,0.0,-2027.76,-14.48,1,100.0,0.19,0.19,6,66.7,579.11,96.52,10,60.0,1.25,0.12,6,100.0,369.45,61.57,0,0,0,0,12,91.7,305.46,25.45,34,0.0,-1765.14,-51.92,12,100.0,1790.15,149.18,1,0.0,0.0,0.0,0,0,0,0,1,0.0,-0.28,-0.28,0,0,0,0,1,0.0,-66.36,-66.36,14,100.0,208.7,14.91
0.8,43.3,C-一般,熊市优,165.2,1.4,19.6,4.8,7.5,10,011579,汇丰晋信核心成长C,光伏,2021-06-22 ~ 2026-05-08,1184,5.28,1.1,-8.1,-1.78,13.38,24.01,57.45,2021-09-13,2024-09-23,1058,0.17,0.05,1.262,15.55,-12.09,47.2,42,241,43.2,50.0,31.61,-25.7,1.23,0.0,-24.13,20.13,670.34,-228.34,65,31,23.8,98.6,1.4,13.8,10,62,486.97,9299.11,1228.51,10527.62,3,22.26,57.32,3,-11.98,-53.51,5,-3.24,-1.05,0,1144,40,0,20,3,5,0,1,81,1,0,0,0,1,0,2,4,0,7,16,6,5,38,29,37,1,2,0,1,3,4,4,1,6,5,0,0,5,60.0,121.72,24.34,81,0.0,-826.85,-10.21,0,0,0,0,7,85.7,107.22,15.32,16,75.0,9.1,0.57,6,83.3,345.0,57.5,5,100.0,47.83,9.57,38,86.8,698.48,18.38,29,0.0,-1951.26,-67.28,37,94.6,1878.34,50.77,2,0.0,-0.01,-0.01,0,0,0,0,1,0.0,-0.81,-0.81,3,0.0,-1.54,-0.51,6,0.0,-20.5,-3.42,5,100.0,80.25,16.05
1.1,41.7,C-一般,全天候/熊市优/牛市可,79.3,0,18.8,6.5,6.4,10,014918,汇丰晋信时代先锋混合C,光伏,2022-07-06 ~ 2026-05-08,932,-4.5,-1.24,-21.76,-6.42,17.26,22.82,50.86,2022-07-07,2024-07-10,930,-0.05,-0.05,1.372,10.91,-13.64,48.3,31,298,40.3,42.6,18.36,-18.05,1.02,0.0,-28.82,7.89,489.53,-175.13,82,24,32.5,98.9,1.1,13.6,7,44,-449.35,9540.41,9.7,9550.11,2,17.16,35.69,2,-16.58,-42.59,4,-3.38,-8.32,0,894,38,1,16,2,18,0,1,130,1,0,0,2,1,1,0,2,0,12,23,3,7,41,18,36,0,0,0,0,4,4,0,0,3,3,0,0,18,77.8,164.91,9.16,130,0.0,-1871.27,-14.39,0,0,0,0,12,91.7,338.72,28.23,23,73.9,68.84,2.99,3,100.0,37.25,12.42,7,85.7,21.32,3.05,41,82.9,288.6,7.04,18,0.0,-563.12,-31.28,36,88.9,1280.62,35.57,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-174.35,-43.59,3,0.0,-44.09,-14.7,3,100.0,3.22,1.07
1.25,38.0,D-偏差,全天候/熊市优/震荡优,83.5,0,18.3,4.4,5.3,10,011967,招商中证光伏产业ETF联接C,光伏,2021-07-19 ~ 2026-05-08,1165,-3.97,-0.87,-24.0,-5.76,20.03,29.9,63.89,2022-08-18,2024-09-23,900,-0.03,-0.03,1.454,11.44,-10.95,50.1,38,282,24.1,35.6,41.98,-15.83,2.65,-1.54,-24.38,2.89,1326.66,-278.31,143,18,22.2,98.3,1.7,10.9,5,54,-263.28,5036.71,4566.13,9602.84,2,1.04,57.36,3,-17.95,-63.69,5,16.07,-2.6,0,1108,57,0,25,3,15,1,1,175,2,0,0,0,2,0,1,0,1,13,5,6,5,10,28,15,0,0,0,0,1,2,1,0,3,5,0,0,15,100.0,90.91,6.06,175,0.0,-1476.32,-8.44,1,100.0,0.01,0.01,13,92.3,66.63,5.13,5,80.0,3.85,0.77,6,100.0,560.47,93.41,5,100.0,6.11,1.22,10,80.0,1367.17,136.72,28,0.0,-1440.03,-51.43,15,80.0,613.87,40.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-17.25,-17.25,3,0.0,-184.6,-61.53,5,100.0,145.9,29.18
1.1,37.8,D-偏差,全天候/熊市优/震荡优,80.4,0,16.0,5.4,6.4,10,012886,华夏中证光伏产业ETF发起式联接C,光伏,2021-10-12 ~ 2026-05-08,1111,-5.24,-1.21,-26.73,-6.81,21.49,35.66,63.83,2021-10-29,2024-09-23,1097,-0.03,-0.03,1.471,11.24,-10.94,51.3,29,237,30.0,42.9,48.74,-25.76,1.89,-0.25,-63.95,11.92,1321.24,-301.07,76,14,26.8,97.3,2.7,24.0,19,66,-557.53,6412.08,3063.96,9476.04,2,10.44,55.75,3,-28.0,-63.74,5,16.72,-5.12,0,1053,58,1,10,7,17,0,0,126,0,0,1,0,2,0,2,0,2,11,4,2,4,8,21,25,1,0,0,0,8,5,0,0,6,3,0,0,17,94.1,198.52,11.68,126,0.0,-1163.9,-9.24,2,50.0,0.02,0.01,11,100.0,238.26,21.66,4,100.0,5.01,1.25,2,100.0,437.61,218.81,4,100.0,6.32,1.58,8,87.5,1339.72,167.47,21,0.0,-1355.32,-64.54,25,92.0,1219.13,48.77,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,-733.5,-91.69,6,0.0,-765.31,-127.55,3,100.0,15.91,5.3
